J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0.010989678918894172,-0.4786778445156926,0.4457054005643354,-0.08981622566083214,0.11782200273170418,0.08850554182926282
0.011188244298972586,-0.4786762794938789,0.44570445322756236,-0.09149281786778213,0.11783935402686149,0.09018724905969829
0.011389052458293768,-0.4786746682886681,0.44570347793308307,-0.09318784871122215,0.11785722712471058,0.09188745289242448
0.011592103350148472,-0.47867300993960915,0.4457024740993377,-0.0949012918171066,0.11787563284794991,0.09360612696223371
0.011797396926386431,-0.4786713034755351,0.4457014411382698,-0.09663312001424632,0.11789458212851484,0.09534324410704902
0.012004933137385761,-0.4786695479145637,0.4457003784553255,-0.09838330531930267,0.11791408600697215,0.09709877635292405
0.012214711932022036,-0.47866774226409853,0.4456992854494546,-0.10015181892174244,0.11793415563189452,0.09887269489900383
0.012426733257637025,-0.4786658855208299,0.4456981615131099,-0.1019386311687595,0.11795480225921696,0.10066497010245237
0.012640997060007096,-0.4786639766707357,0.44569700603224793,-0.10374371155017018,0.11797603725157466,0.10247557146335423
0.01285750328331129,-0.478662014689082,0.445695818386328,-0.10556702868328884,0.1179978720776233,0.10430446760959597
0.013076251870099052,-0.4786599985404244,0.44569459794831345,-0.10740855029778998,0.11802031831133904,0.10615162628173448
0.013297242761257634,-0.478657927178609,0.4456933440846707,-0.10926824322056403,0.11804338763129932,0.10801701431785915
0.01352047589597916,-0.47865579954677295,0.4456920561553702,-0.11114607336057411,0.11806709181994463,0.10990059763845465
0.013745951211727378,-0.478653614577346,0.4456907335138855,-0.11304200569372062,0.1180914427628206,0.111802341231272
0.01397366864420404,-0.4786513711920512,0.44568937550719423,-0.1149560042477211,0.11811645244779864,0.11372220913621488
0.01420362812731499,-0.47864906830190623,0.4456879814757778,-0.1168880320870129,0.11814213296427817,0.11566016443024868
0.014435829593135888,-0.4786467048072244,0.44568655075362124,-0.1188380512976866,0.11816849650236623,0.1176161692123405
0.014670272971877622,-0.4786442795976156,0.4456850826682136,-0.12080602297245714,0.11819555535203768,0.11959018458843684
0.014906958191851373,-0.47864179155198816,0.4456835765405482,-0.12279190719568203,0.11822332190227335,0.12158217065648852
0.015145885179433374,-0.47863923953854925,0.445682031685122,-0.12479566302843353,0.11825180864017776,0.12359208649152953
0.01538705385902929,-0.47863662241480676,0.4456804474099364,-0.12681724849363346,0.11828102815007407,0.12561989013081862
0.015630464153038322,-0.47863393902757,0.445678823016497,-0.1288566205612594,0.11831099311257791,0.12766553855905244
0.015876115981816936,-0.4786311882129519,0.44567715779981365,-0.13091373513363053,0.11834171630364906,0.1297289876936581
0.01612400926364229,-0.47862836879636905,0.4456754510484007,-0.13298854703078178,0.11837321059362088,0.13181019237017455
0.01637414391467531,-0.4786254795925444,0.4456737020442769,-0.13508100997593514,0.11840548894620684,0.1339091063277307
0.016626519848923448,-0.47862251940550826,0.4456719100629658,-0.13719107658107743,0.11843856441748508,0.13602568219463038
0.01688113697820312,-0.4786194870285991,0.4456700743734954,-0.13931869833265348,0.11847245015485988,0.13815987147405265
0.017137995212101773,-0.47861638124446604,0.44566819423839854,-0.14146382557738368,0.11850715939599923,0.1403116245298766
0.01739709445793968,-0.47861320082506975,0.4456662689137131,-0.14362640750821576,0.11854270546775073,0.1424808905726404
0.017658434620731363,-0.4786099445316844,0.44566429764898163,-0.14580639215041988,0.11857910178503239,0.14466761764564376
0.017922015603146692,-0.47860661111489905,0.4456622796872522,-0.14800372634783704,0.11861636184970142,0.14687175261120364
0.0181878373054717,-0.47860319931461925,0.4456602142650777,-0.1502183557492902,0.1186544992493982,0.14909324113707292
0.018455899625568983,-0.4785997078600692,0.44565810061251654,-0.1524502247951685,0.11869352765636677,0.1513320276830322
0.01872620245883788,-0.47859613546979285,0.4456559379531324,-0.15469927670419334,0.11873346082625169,0.15358805548766336
0.01899874569817423,-0.4785924808516563,0.4456537255039947,-0.15696545346037818,0.11877431259687027,0.1558612665553171
0.01927352923392986,-0.478588742702849,0.44565146247567816,-0.15924869580019066,0.11881609688696138,0.15815160164328265
0.019550552953871727,-0.47858491970988626,0.44564914807226375,-0.16154894319992796,0.1188588276949085,0.1604590002491711
0.019829816743140747,-0.47858101054861085,0.4456467814913378,-0.16386613386331542,0.11890251909744033,0.16278340059852162
0.020111320484210254,-0.47857701388419494,0.4456443619239931,-0.16620020470933924,0.11894718524830555,0.16512473963264235
0.020395064056844218,-0.47857292837114207,0.44564188855482834,-0.1685510913603238,0.11899284037692402,0.1674829529966953
0.020681047338055043,-0.4785687526532896,0.44563936056194864,-0.170918728130263,0.1190394987870125,0.16985797502803596
0.02096927020206111,-0.47856448536381013,0.44563677711696525,-0.17330304801341778,0.119087174855186,0.17224973874481897
0.021259732520243962,-0.4785601251252144,0.4456341373849965,-0.1757039826731893,0.11913588302953643,0.17465817583487916
0.021552434161105187,-0.4785556705493532,0.44563144052466686,-0.17812146243127888,0.11918563782818303,0.1770832166449
0.021847374990222945,-0.4785511202374191,0.4456286856881079,-0.18055541625714613,0.11923645383780179,0.17952479016987963
0.02214455487020823,-0.4785464727799498,0.4456258720209581,-0.1830057717577739,0.11928834571212807,0.18198282404290445
0.022443973660660727,-0.47854172675682954,0.4456229986623632,-0.18547245516775362,0.11934132817043573,0.18445724452524268
