step,time_s,T_J1_rad,T_J2_rad,T_J3_rad,T_J4_rad,T_J5_rad,T_J6_rad,A_J1_rad,A_J2_rad,A_J3_rad,A_J4_rad,A_J5_rad,A_J6_rad,Eabs_J1_rad,Eabs_J2_rad,Eabs_J3_rad,Eabs_J4_rad,Eabs_J5_rad,Eabs_J6_rad
38,0.095,1.2945493428263795,-0.21371527941845359,0.2729840363492288,-1.0840577465637846,1.4033591300622024,1.4173047770348148,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0003205744244307862,0.001094474673156265,0.000898400117573861,3.566609433924839e-05,0.00019112922808028898,0.00032757772337443924
39,0.0975,1.2945664168304436,-0.21365691612904408,0.27293610096489096,-1.0840596403176115,1.4033693170492962,1.4173222099145775,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00033764842849492993,0.001152837962565767,0.0009463355019116992,3.755984816611324e-05,0.0002013162151741632,0.00034501060313707477
40,0.1,1.2945839321778085,-0.2135970367610993,0.2728869174531058,-1.0840615824079713,1.4033797681299418,1.4173400919248045,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.000355163775859868,0.0012127173305105376,0.0009955190136968772,3.95019385259765e-05,0.00021176729581973142,0.0003628926133640853
41,0.10250000000000001,1.294601888704471,-0.2135356413031167,0.27283648557897733,-1.0840635727695322,1.4033904832657558,1.4173584227832494,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00037312030252234507,0.0012741127884931536,0.001045950887825331,4.14923000868761e-05,0.00022248243163369708,0.0003812234718090224
42,0.105,1.294620286242325,-0.2134727297432964,0.27278480510165193,-1.084065611335333,1.4034014624174282,1.4173772022005464,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0003915178403763875,0.0013370243483134536,0.0010976313651507308,4.3530865887708714e-05,0.0002334615833061715,0.00040000288910602144
43,0.1075,1.2946391246191697,-0.21340830206954114,0.27273187577431734,-1.0840676980367854,1.4034127055447256,1.4173964298802093,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00041035621722107507,0.0014014520220687054,0.001150560692485314,4.5617567340006104e-05,0.00024470471060356047,0.0004192305687689135
44,0.11,1.2946584036587094,-0.21334235826945586,0.2726776973442022,-1.0840698328036757,1.4034242126064926,1.4174161055186323,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0004296352567607631,0.001467395822153994,0.00120473912260044,4.775233423037761e-05,0.0002562117723705626,0.00043890620719189144
45,0.1125,1.2946781231805606,-0.21327489833034677,0.27262226955257474,-1.0840720155641677,1.4034359835606571,1.4174362288050943,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0004493547786119656,0.001534855761263082,0.0012601669142279226,4.993509472228652e-05,0.0002679827265350543,0.00045902949365395074
46,0.115,1.294698283000255,-0.2132059222392214,0.2725655921347419,-1.084074246244802,1.4034480183642326,1.417456799421759,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0004695145983062421,0.0016038318523884376,0.0013168443320607515,5.216577535671618e-05,0.0002800175301105323,0.00047960011031866756
47,0.11750000000000001,1.294718882929242,-0.21313542998278787,0.27250766482004907,-1.0840765247705022,1.4034603169733229,1.4174778170436784,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0004901145272933061,0.001674324108821984,0.001374771646753592,5.4444301056832956e-05,0.0002923161392007767,0.0005006177322379735
