phase,kp,ki,kd,rms_err_rad,mean_abs_err_rad,vel_rms_rad,acc_rms_rad,jerk_rms_rad,smooth_cost,score
GRID,120,60,30,0.010411505499008957,0.009273796717382038,0.002893057066682973,0.001460493781942008,0.0022872819637088735,0.0017085302364720678,0.015219256881347181
GRID,120,60,35,0.010099997288453014,0.008824741897781156,0.0028903341888404715,0.0014469074979764937,0.0022716333286737756,0.0016943252471856782,0.01468180076206216
GRID,120,60,40,0.010133053437312627,0.008921178051403775,0.0028214083408069444,0.0013450411503327555,0.00219893633264581,0.0016012097050266717,0.014753763433517182
GRID,120,60,45,0.010477566816154967,0.00917041760343159,0.0029147485199100707,0.0015471739498417788,0.0024447441215975693,0.0018164450013685158,0.015244420118007614
GRID,120,60,50,0.010241598713629006,0.009209851039651617,0.0028269842520578987,0.0014109710419725242,0.002340382064775656,0.0016897943488134637,0.01501550366833616
GRID,120,70,0,0.01060536100888214,0.009502576108892873,0.0028670853224127,0.001379832441503596,0.0022293666908860007,0.0016346927163183173,0.015520118334960408
GRID,120,70,5,0.010391982833359972,0.008996010496125554,0.0029120459245028643,0.0015317788011982492,0.002478555161864819,0.00181581170939822,0.015071569252362572
GRID,120,70,10,0.010506727654694506,0.009066338050291249,0.002828376512300923,0.0013769667427893028,0.0023131277780207246,0.0016578150533587293,0.015205678185176002
GRID,120,70,15,0.010939499481552156,0.009780855765237701,0.002898495148675034,0.0014846358105590402,0.002370668642441653,0.0017504456601238239,0.01600497193018339
GRID,120,70,20,0.010157097950239793,0.00884480547411142,0.002864337755588572,0.0013567373804834087,0.002147876121800877,0.0015940790028786491,0.01473890858758337
GRID,120,70,25,0.010029565418558874,0.008895403639928983,0.0027891305356108082,0.0012972020667724059,0.0021125253787210602,0.001541799060357002,0.014631447144559067
GRID,120,70,30,0.009777327936701928,0.008502077719477414,0.00286158755067637,0.001427669505366636,0.0023114137149635,0.0016927927682456952,0.014197646073265206
GRID,120,70,35,0.010507936917765642,0.009300999930402544,0.0028505601973242336,0.0013654438059603048,0.0021808377834526015,0.0016100619992079938,0.015319443082887713
GRID,120,70,40,0.0108712777729235,0.009738874789628765,0.0028848807232486557,0.001452357263023433,0.002299379497084976,0.0017064639332418957,0.01591136156106207
GRID,120,70,45,0.010572550266848772,0.00924343775833153,0.002901210367208299,0.0014685852221527807,0.002302824262307822,0.001718856934199293,0.015366154839434466
GRID,120,70,50,0.01014597819171516,0.009050010998806372,0.0028450304924131677,0.0014109710419725517,0.0023131277780206877,0.0016816180627869924,0.014839145497397045
GRID,120,80,0,0.010962510255534384,0.00986138831069157,0.0028712017427987638,0.00141097104197256,0.00229937949708494,0.0016774935785062737,0.016060953768730794
GRID,120,80,5,0.010446562537759815,0.009036941406255744,0.0029496569320978036,0.0015394956198167115,0.002486537646820391,0.0018236082279178153,0.01514739406367947
GRID,120,80,10,0.010205446859479037,0.009077632364940559,0.002849178777229855,0.0013683336373536148,0.00225235957762443,0.0016335414194348593,0.014907617183892802
GRID,120,80,15,0.009419317411773051,0.008103466408642757,0.002884880723248655,0.0013940725755915268,0.0022751201048297584,0.0016583868343629962,0.013636889299530731
GRID,120,80,20,0.01020903729307744,0.009215784422521132,0.0028339387133711814,0.0013450411503327705,0.0021808377834525764,0.0015957801402687122,0.014976507518364875
GRID,120,80,25,0.01072139636239732,0.009552829891916843,0.0028698302587258618,0.0014386941440300085,0.0023555740299743924,0.0017137581098133235,0.015669187119337073
GRID,120,80,30,0.010244758844796404,0.008913404003595093,0.0028780493598288387,0.0014331924254300664,0.0023233856011925028,0.0017002503781587972,0.01487148588440983
GRID,120,80,35,0.010164432086296618,0.009117456522575977,0.002831158978799974,0.0014053607969232826,0.0022470744090322464,0.0016578748805559716,0.014888947835640202
GRID,120,80,40,0.010395900534193994,0.00935445333889413,0.002822803351196662,0.001382692200926888,0.0023199713662822347,0.0016638759505334918,0.015239514798694408
GRID,120,80,45,0.009422150936206167,0.008142401730403636,0.00288078384914859,0.001427669505366625,0.00224707440903227,0.0016734909764663183,0.013660700899054617
GRID,120,80,50,0.01021667224450299,0.008960095163177573,0.002878049359828831,0.0014193448308707111,0.0022400081198088117,0.0016655438175521412,0.01486327420784699
GRID,120,90,0,0.010412247906769213,0.009152847389432353,0.0028615875506763744,0.001435945919660023,0.002348834176303645,0.0017098123966531095,0.0151596528411507
GRID,120,90,5,0.010796577737363804,0.009380661254777085,0.0029696097431066836,0.0015291978746788469,0.0023773465955081964,0.0017836424909276516,0.01566527261384511
GRID,120,90,10,0.010305636555263861,0.009204420282197857,0.002842261605633181,0.0014025472589723185,0.0023131277780207076,0.001675721414686835,0.015075418837831473
GRID,120,90,15,0.009852300756241824,0.008525273627114693,0.0028574572802282892,0.0014550744913354,0.0023956149832974572,0.001737236638924017,0.014288661233691572
GRID,120,90,20,0.010476866518601037,0.009269162801468105,0.0028698302587258665,0.0014304336309077636,0.0022924744379592124,0.0016890458730231981,0.01528035250663741
GRID,120,90,25,0.010186849700331136,0.008878427606532244,0.0028657118682872225,0.0014249000177821755,0.002400573143103064,0.001717601955378442,0.014797823699135104
GRID,120,90,30,0.01010267150275349,0.008866771002149505,0.0028588347000625563,0.0015057704795284088,0.002532339903174889,0.0018137413066223527,0.014717431134490479
GRID,120,90,35,0.010711287668009878,0.00956579987538074,0.0028821501209110307,0.001495240486847073,0.0023823427760006908,0.0017613711735931584,0.015670324723059563
GRID,120,90,40,0.009656011318767414,0.008292372062860364,0.0029881121635045044,0.0015497249391254173,0.0023840058427136495,0.001800009210201887,0.013982198271217784
GRID,120,90,45,0.01034617572367348,0.009156159236347439,0.002820012640330338,0.001353822796278309,0.0021953285593666184,0.001606274525204802,0.015084882794367678
GRID,120,90,50,0.010098362113466378,0.00883482343342547,0.0028255913058033233,0.0012941534090518646,0.0020936799942792563,0.001534011384620082,0.01466917496864112
GRID,120,100,0,0.009948761939466122,0.008501733671834174,0.002902567023989117,0.001460493781942008,0.0023856677500905745,0.001738045972386578,0.014373433372621865
GRID,120,100,5,0.00966253453393482,0.008520314529829156,0.0028003997957958557,0.0013362017918166842,0.0022872819637087993,0.0016215258433843187,0.01408484438318783
GRID,120,100,10,0.01046279291861219,0.009378313892652982,0.00286845811891101,0.0013997280656515843,0.0022716333286738432,0.001661299644558262,0.015318079829394508
GRID,120,100,15,0.00986772637275868,0.008459228070688564,0.002899853075734156,0.001465893037996819,0.0023656478066414696,0.001735819468590214,0.014270922354961982
GRID,120,100,20,0.010354161126105047,0.009222315340632413,0.0028228033511966603,0.0013769667427892978,0.0023131277780207298,0.0016578150533587274,0.015131100301757126
GRID,120,100,25,0.010701183422820846,0.009316536672224185,0.002814422917014159,0.0013683336373536148,0.0022768614905457575,0.0016408919933112575,0.015523540958264062
GRID,120,100,30,0.010345533152086788,0.00913652286694456,0.0028450304924131677,0.0013596457168979642,0.0021953285593665534,0.0016103505696385407,0.015074829642522922
GRID,120,100,35,0.010617490286890349,0.009448422510676301,0.002921494070519129,0.0015110079578795864,0.002360616291962482,0.001765890458104455,0.015518290588038944
GRID,120,100,40,0.010442581424593428,0.009318087816480069,0.002787718674960681,0.0013243242068850221,0.002184469489188014,0.0015823677915759197,0.015259862111991054
GRID,120,100,45,0.01051750388821287,0.009267724889020824,0.002917448611753446,0.0015083914919201793,0.0023790131548403265,0.0017695779907962233,0.015328324131802904
GRID,120,100,50,0.010699503573043164,0.009559731314139692,0.0028971365851372275,0.0014523572630234186,0.002252359577624451,0.0016923579574037281,0.01564860502585338
GRID,140,0,0,0.009934486153845248,0.00869687487976933,0.002969609743106675,0.0016652191186803343,0.002621544815090091,0.0019521168276032611,0.01447813527649024
GRID,140,0,5,0.009537378975443113,0.008492263745303062,0.0028339387133711857,0.0014249000177822284,0.0023352961144008245,0.0016980188467678073,0.013953312732771424
GRID,140,0,10,0.010030860060226448,0.008799325934948123,0.0029456501515312903,0.0015899842392291365,0.0025008419123608554,0.0018632415411686523,0.014616847181817374
GRID,140,0,15,0.009390601821341016,0.008379547949421511,0.0027564747892513584,0.001318345286025434,0.0022186742230564625,0.0015884439671347424,0.013739220192765246
GRID,140,0,20,0.009565425418551975,0.00856368634013308,0.002808822069837476,0.0013509019238437446,0.002204336921212044,0.0016069324230542344,0.014007961830923938
GRID,140,0,25,0.009820065619395569,0.008735588193847066,0.002894417545040175,0.0014766323247037264,0.0022976551777595137,0.0017229391806204625,0.014360153634381149
GRID,140,0,30,0.009206647014210607,0.008156287320771565,0.0027493243886485674,0.0012941534090518787,0.002153404769612806,0.0015519288172201567,0.013439983556318405
GRID,140,0,35,0.009567052686554191,0.008589243185558553,0.002767877008718978,0.0013769667427892878,0.0023131277780207076,0.0016578150533587137,0.014027455784669338
GRID,140,0,40,0.009811838144664896,0.008631160634104962,0.0029322546744263637,0.0014872940683914656,0.0021935224475353363,0.0016991625821346267,0.014297334719930839
GRID,140,0,45,0.00925531591134484,0.008212925751058734,0.0027493243886485674,0.0013093257140800178,0.002225808242183817,0.0015842704725111574,0.013520205834125321
GRID,140,0,50,0.00981769528338044,0.008650300698047925,0.0028930570666829765,0.0014872940683914487,0.0022733773852291325,0.0017231190634427536,0.014315157538748678
